Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
10/1/13,42685,3903525,70626.41,7988675.85,85494,258,1004,160
10/2/13,43450,3946975,73077,8061752.85,85773,279,1129,153
10/3/13,42371,3989346,70446.4,8132199.25,86333,560,1076,146
10/4/13,42232,4031578,75074.72,8207273.97,87112,779,1434,141
10/5/13,36024,4067602,72951.14,8280225.11,87862,750,2971,137
10/6/13,27841,4095443,49310.75,8329535.86,88604,742,1368,105
10/7/13,26350,4121793,40197.87,8369733.74,89189,585,421,78
10/8/13,40254,4162047,67151.3,8436885.03,89521,332,896,137
10/9/13,38784,4200831,60453.16,8497338.2,89769,248,714,98
10/10/13,32699,4233530,48977.37,8546315.57,89951,182,482,95
10/11/13,34878,4268408,56472.63,8602788.2,90121,170,798,90
10/12/13,34022,4302430,69386.36,8672174.56,90301,180,2855,162
10/13/13,30198,4332628,58253.01,8730427.56,90522,221,2208,122
10/14/13,34668,4367296,58222.87,8788650.44,90770,248,1291,118
10/15/13,39390,4406686,64384.11,8853034.55,90977,207,934,145
10/16/13,38743,4445429,62567.19,8915601.73,91171,194,789,118
10/17/13,38655,4484084,62782.38,8978384.12,91343,172,815,112
10/18/13,39913,4523997,67045.43,9045429.55,91551,208,1267,122
10/19/13,31044,4555041,58542.63,9103972.18,91659,108,2146,130
10/20/13,30691,4585732,59015.16,9162987.34,91815,156,2114,101
10/21/13,36698,4622430,61276.03,9224263.36,92029,214,849,93
10/22/13,38082,4660512,58309.86,9282573.23,92213,184,636,87
10/23/13,33803,4694315,49344.83,9331918.05,92324,111,355,66
10/24/13,33651,4727966,49520.22,9381438.28,92410,86,444,69
10/25/13,32326,4760292,49095.71,9430533.99,92505,95,592,77
10/26/13,25631,4785923,45286.3,9475820.28,92598,93,1387,65
10/27/13,25047,4810970,44389.52,9520209.81,92698,100,1362,98
10/28/13,32773,4843743,50799.69,9571009.5,92844,146,530,104
10/29/13,34631,4878374,52807.88,9623817.38,92944,100,450,101
10/30/13,36338,4914712,53509.93,9677327.31,93035,91,453,73
10/31/13,32517,4947229,50981.21,9728308.51,93137,102,464,83
11/1/13,31517,4978746,51110.53,9779419.04,93221,84,848,75
